Subj,Numb,Sect,CRN,Title,Cred,StartDate,EndDate,Max,Waitlist,Appr,DAYS1,TIMES1,LOC1,DAYS2,TIMES2,LOC2,Long_Title
CS,599,705,67731,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,706,68303,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,710,69534,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,732,69535,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,748,65503,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,749,69537,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,751,64204,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,756,69538,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,764,64205,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,769,64232,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,770,64207,Thesis,3 to 9,,,7,,IN,,-,,,-,,
CS,599,783,69273,Thesis,3 to 9,,,7,,,,-,,,-,,
CS,599,797,69338,Thesis,3 to 9,,,7,,,,-,,,-,,
CS,600,701,64209,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,703,67732,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,704,67733,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,705,67734,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,706,68305,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,710,69539,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,732,69540,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,748,64212,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,749,69541,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,751,66993,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,756,69542,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,764,65068,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,769,64323,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,770,64214,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,783,69543,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,600,797,69544,Doctoral Dissertation,1 to 9,,,7,,IN,,-,,,-,,
CS,601,700,63071,Continuing Enrollment,1 to 1,,,999,,,,-,,,-,,
CS,601,701,64432,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,703,67735,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,704,67737,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,705,67736,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,706,68307,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,710,69545,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,732,69546,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,748,65505,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,749,69547,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,751,65506,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,756,69548,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,764,64233,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,769,64234,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,770,64217,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,783,69549,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
CS,601,797,69550,Continuing Enrollment,1 to 1,,,7,,IN,,-,,,-,,
