courseNum,section,creditHours,courseTitle,crn,maxStudent,weekday,instructor,scheduleStartTime,scheduleEndTime,room,notes,semesterTime
200B,1,3,Computer Concepts,63046,40,Monday,Rachamalla,13:00,13:50,EGRA 420,lab R in ASA 112E,Fall 2019
200B,1,3,Computer Concepts,63046,40,Wednesday,Rachamalla,13:00,13:50,EGRA 420,lab R in ASA 112E,Fall 2019
200B,1,3,Computer Concepts,63046,40,Friday,Rachamalla,13:00,13:50,EGRA 420,lab R in ASA 112E,Fall 2019
201,1,3,Problem Solv w/ Computers,67507,75,Monday,Ahmed,09:00,09:50,EGRA 219,Various 50 mins labs,Fall 2019
201,1,3,Problem Solv w/ Computers,67507,75,Wednesday,Ahmed,09:00,09:50,EGRA 219,Various 50 mins labs,Fall 2019
